,Unnamed: 0,text,favourite_count,retweet_count,created_at,handle
0,0,microsoft kickstarts settlement discussions european cloud trade body antitrust complaints,15,9,2023-04-21 03:06:29+00:00,TechCrunch
1,1,microsoft kickstarts settlement discussions european cloud trade body antitrust complaints,8,4,2023-04-20 13:00:40+00:00,TechCrunch
2,2,microsoft kicks twitter teeth,64,22,2023-04-20 01:40:07+00:00,TechCrunch
3,3,microsoft kicks twitter teeth,20,5,2023-04-19 22:40:01+00:00,TechCrunch
4,4,microsoft integrates bing keyboard swiftkey app android ios,22,7,2023-04-13 19:38:03+00:00,TechCrunch
5,5,microsoft integrates bing keyboard swiftkey app android ios,22,4,2023-04-13 16:46:31+00:00,TechCrunch
6,6,lms learning management system built microsoft teams raises,15,4,2023-04-13 07:35:13+00:00,TechCrunch
7,7,microsoft patches windows zero day bug used ransomware attacks,24,9,2023-04-13 06:48:27+00:00,TechCrunch
8,8,lms learning management system built microsoft teams raises,15,2,2023-04-13 06:00:54+00:00,TechCrunch
9,9,access snapchat lenses microsoft teams meetings,19,3,2023-04-10 17:54:53+00:00,TechCrunch
10,10,access snapchat lenses microsoft teams meetings,17,4,2023-04-10 16:31:40+00:00,TechCrunch
11,11,aws microsoft uk crosshairs ofcom mulls cloud services market investigation,7,2,2023-04-05 13:01:22+00:00,TechCrunch
12,12,aws microsoft uk crosshairs ofcom mulls cloud services market investigation,8,2,2023-04-05 12:44:22+00:00,TechCrunch
13,13,fast microsoft slips ads ai powered bing chat,39,10,2023-03-30 02:39:30+00:00,TechCrunch
14,14,fast microsoft slips ads ai powered bing chat devin coldewey,42,9,2023-03-29 21:10:25+00:00,TechCrunch
15,15,microsoft lets generative ai loose cybersecurity,33,10,2023-03-29 02:33:38+00:00,TechCrunch
16,16,germany probes microsoft market power,17,5,2023-03-29 00:23:11+00:00,TechCrunch
17,17,microsoft lets generative ai loose cybersecurity,16,6,2023-03-28 18:07:38+00:00,TechCrunch
18,18,germany probes microsoft market power,13,5,2023-03-28 14:37:44+00:00,TechCrunch
19,19,zoom adding new features compete slack calendly google microsoft,19,8,2023-03-28 12:48:27+00:00,TechCrunch
20,20,zoom adding new features compete slack calendly google microsoft,15,5,2023-03-28 12:04:07+00:00,TechCrunch
21,21,microsoft rebuilt teams ground promises x faster performance,33,7,2023-03-27 19:35:58+00:00,TechCrunch
22,22,microsoft rebuilt teams ground promises x faster performance,19,5,2023-03-27 15:01:23+00:00,TechCrunch
23,23,week apps tiktok goes congress apps connect chatgpt microsoft mobile games store plan,12,4,2023-03-25 18:37:56+00:00,TechCrunch
24,24,week apps tiktok goes congress apps connect chatgpt microsoft mobile games store plan,9,3,2023-03-25 18:01:03+00:00,TechCrunch
25,25,uk narrows antitrust probe microsoft activision,23,2,2023-03-24 15:06:03+00:00,TechCrunch
26,26,uk narrows antitrust probe microsoft activision,32,5,2023-03-24 13:08:33+00:00,TechCrunch
27,27,microsoft launches loop notion competitor public preview,23,13,2023-03-22 20:34:05+00:00,TechCrunch
28,28,microsoft launches loop notion competitor public preview,27,7,2023-03-22 20:22:52+00:00,TechCrunch
29,29,microsoft launches loop notion competitor public preview,40,6,2023-03-22 19:46:43+00:00,TechCrunch
30,30,microsoft brings openai dall e image creator new bing,95,28,2023-03-21 13:46:47+00:00,TechCrunch
31,31,microsoft brings openai dall e image creator new bing,17,6,2023-03-21 13:00:49+00:00,TechCrunch
32,32,microsoft banks regulations build mobile games store,28,9,2023-03-20 08:21:07+00:00,TechCrunch
33,33,microsoft banks regulations build mobile games store,20,2,2023-03-20 07:46:25+00:00,TechCrunch
34,34,daily crunch microsoft waives waitlist opens ai powered bing chatbot,41,18,2023-03-17 02:43:03+00:00,TechCrunch
35,35,daily crunch microsoft waives waitlist opens ai powered bing chatbot,47,14,2023-03-16 22:05:08+00:00,TechCrunch
36,36,microsoft new power platform ai copilot build apps,52,15,2023-03-16 21:11:30+00:00,TechCrunch
37,37,microsoft gets host new ai powered features,30,9,2023-03-16 19:40:28+00:00,TechCrunch
38,38,microsoft new power platform ai copilot build apps,28,7,2023-03-16 15:47:58+00:00,TechCrunch
39,39,microsoft gets host new ai powered features,35,8,2023-03-16 15:25:51+00:00,TechCrunch
40,40,turns microsoft new ai enabled bing using openai gpt along,28,9,2023-03-15 13:54:26+00:00,TechCrunch
41,41,microsoft new bing ai chatbot arrives stable version edge web browser,24,6,2023-03-14 19:33:01+00:00,TechCrunch
42,42,microsoft new bing using gpt along,57,18,2023-03-14 18:31:15+00:00,TechCrunch
43,43,microsoft signs another call duty deal cloud gaming company boosteroid,19,2,2023-03-14 14:40:18+00:00,TechCrunch
44,44,microsoft lays ethical ai team doubles openai,102,46,2023-03-14 01:26:30+00:00,TechCrunch
45,45,microsoft bets algae mitigate growing carbon footprint,15,6,2023-03-11 01:15:49+00:00,TechCrunch
46,46,chatgpt comes microsoft enterprise focused azure powered managed service,40,14,2023-03-09 19:17:31+00:00,TechCrunch
47,47,microsoft makes easier integrate quantum classical computing,12,3,2023-03-08 17:31:07+00:00,TechCrunch
48,48,microsoft computer vision model generate alt text reddit images,28,12,2023-03-07 14:01:56+00:00,TechCrunch
49,49,know day microsoft went public invested stock first offered would million dollars today,2781,99,2023-03-13 23:01:39+00:00,LinusTech
50,50,wtf microsoft,24204,1369,2023-03-06 23:35:12+00:00,LinusTech
51,51,bing chatgpt enough convince switch microsoft defaults,674,16,2023-02-07 21:37:18+00:00,LinusTech
52,52,new video windows suck microsoft wants think,1017,43,2023-01-21 18:00:29+00:00,LinusTech
53,53,microsoft get sweet sweet,3208,77,2022-10-19 21:00:24+00:00,LinusTech
54,54,always microsoft office hearts,15365,539,2022-10-15 22:00:20+00:00,LinusTech
55,55,new techquickie new chip microsoft,482,19,2022-01-25 19:01:00+00:00,LinusTech
56,56,new techquickie microsoft pushy web browsers,561,20,2021-12-28 19:12:46+00:00,LinusTech
57,57,introducing microsoft galaxy edge,1342,31,2021-09-22 15:27:00+00:00,LinusTech
58,58,excited microsoft event surface go pretty cool hoping make surface stay,2041,36,2021-09-22 14:59:34+00:00,LinusTech
59,59,soo google workspace got updated google chat seriously consider switching microsoft teams,3092,46,2021-09-02 21:04:00+00:00,LinusTech
60,60,women amp minority groups remain highly underrepresented tech industry especially senior roles mission change company seeking minority candidates replace ceo could womenintech,15,9,2020-10-20 22:29:30+00:00,GirlsinTech
61,61,oftentimes believe failure turns success disguise michelle today md girls tech dominican republic rejected job offer microsoft partner fl regretted new possibilities opened dr,4,3,2020-06-23 23:38:21+00:00,GirlsinTech
62,62,cannot let next generation said gavriella schuster corporate vp womenincloud summit read story find inspired mission redress imbalance tech womenintech,32,16,2019-01-29 17:00:55+00:00,GirlsinTech
63,63,stem stem campaign put together aims encourage inspire young girls get involved stem check debut,50,20,2018-09-10 21:20:03+00:00,GirlsinTech
64,64,girlsintech proud partner world rendezvous startups leaders giving away free day passes may th join us amp unveil future ceos email jamie soon free tickets,29,6,2018-05-23 06:11:31+00:00,GirlsinTech
65,65,looking new podcast check hosted software engineer motivation show technical women talk working products building business strategy,31,15,2017-12-14 17:10:12+00:00,GirlsinTech
66,66,authentic self greatest asset wise words inspiring advice executive vice president business developement,25,5,2017-12-08 17:01:11+00:00,GirlsinTech
67,67,sophia kesteven spoke ben knight tara seshan jimmy cockerton benefits integrating sustainability tech businesses steps companies take reduce emissions,4,0,2022-11-15 09:12:02+00:00,TechNation
68,68,hear thought leaders climate tech specialists amp leading tech companies embedded net zero core business ben knight sophia kesteven jimmy cockerton tara seshan rsvp,3,0,2022-11-01 13:59:06+00:00,TechNation
69,69,congrats london based autonomous driving startup likely uk first tech unicorn th total company raised series b round backed big names including virgin amp,22,4,2022-01-18 09:50:28+00:00,TechNation
70,70,big congratulations future fifty cohort member partnering tech giants sompo holdings ahead public listing us later year,3,1,2021-06-30 13:00:49+00:00,TechNation
71,71,grateful support thank,0,0,2018-07-26 21:55:05+00:00,TheTechInteract
72,72,seeing many women microsoft really gave hope girls actually thrive tech community thanks hosting four winning tech challenge teams,6,3,2018-06-08 03:30:03+00:00,TheTechInteract
