Username,Company,Twitterid
The Next Web,,@TheNextWeb
Re/code,,@recode
ZDNet,,@ZDNet
Tech Crunch,,@TechCrunch
TechRepublic,,@TechRepublic
??????a ???,,@techbusiness 
Engadget,,@Engadget
Gigaom,,@Gigaom
Wired,,@WIRED
We Use Gadgets,,@weusegadgets
Ars Technica,,@arstechnica
Smart Planet,,@SmartPlanet
Alexia Tsotsis,,@alexia
Neil Patel,,@neilpatel
Hamid Shojaee,,@hamids
Jason Fried,,@jasonfried
Uncle Bob Martin,,@unclebobmartin
Keith Rabois,,@rabois
Michael Koziarski,,@nzkoz
Leo Laporte,,@LeoLaporte
Peep Laja,,@peeplaja 
Ivo Lukas,,@mssonicflare
Scott Belsky,,@scottbelsky
Martin Fowler,,@martinfowler
Jeff Atwood,,@codinghorror
Kevin Pilch-Bisson,,@Pilchie
Chris Wanstrath,,@defunkt
John Resig,,@Jeresig
Reto Meier,,@retomeier
Avdi Grimm,,@avdi
Alan Cooper,,@MrAlanCooper
